factor i,factor j,TOTAL LOSS,DAMAGED,DELAY,PILFERAGE,PART LOSS
AIRLINE:999_S7,AIRPORT_COUNTRY:NO_INFO,41.41691775217533,25.111813189352688,22.970497800621114,23.49510686572932,55.019541559431
AIRLINE:999_S7,MONTH:4,41.41691775217533,25.111813189352688,22.970497800621114,23.49510686572932,55.019541559431
AIRLINE:999_S7,ORIGIN:STO,41.41691775217533,25.111813189352688,22.970497800621114,,55.019541559431
LOCATION:LCY,DAY:4,6.902819625362555,,1.9142081500517594,,3.0566411977461665
AIRPORT_COUNTRY:NO_INFO,MONTH:4,19.9154822977658,14.268075675768573,10.454291194477225,21.38610063670922,25.04039371899813
SHIPPER:Big Money ,DAY:4,6.902819625362555,,1.9142081500517594,,3.0566411977461665
MONTH:4,ORIGIN:STO,34.514098126812776,26.158138738909052,19.142081500517595,39.1585114428822,45.8496179661925
AIRLINE:977_S7,LOCATION:STO,,62.77953297338172,,,
AIRLINE:977_S7,AIRPORT_COUNTRY:NO_INFO,,62.77953297338172,,,
AIRLINE:977_S7,SHIPPER:jaravellens stecklanike,,62.77953297338172,,,
AIRLINE:977_S7,MONTH:4,,62.77953297338172,,,
AIRLINE:977_S7,ORIGIN:STO,,62.77953297338172,,,
AIRLINE:977_S7,CONCAT:STO_MOW,,62.77953297338172,,,
LOCATION:DUB,CURRENCY:EUR,,52.250304870658184,,,
LOCATION:DUB,DAY:4,,339.62698165927816,,,0.8267963895542909
LOCATION:DUB,MONTH:4,,339.62698165927816,,,
LOCATION:DUB,DESTINATION:BRU,,679.2539633185563,,,
AIRPORT_COUNTRY:NO_INFO,ORIGIN:STO,,24.145974220531436,,,42.32272427648538
AIRPORT_COUNTRY:Ireland,CURRENCY:EUR,,52.250304870658184,,,
AIRPORT_COUNTRY:Ireland,DAY:4,,339.62698165927816,,,0.8267963895542909
AIRPORT_COUNTRY:Ireland,MONTH:4,,339.62698165927816,,,
AIRPORT_COUNTRY:Ireland,DESTINATION:BRU,,679.2539633185563,,,
CURRENCY:EUR,DAY:4,,11.775618927621077,,,
CURRENCY:EUR,DESTINATION:BRU,,679.2539633185563,,,
CURRENCY:AUD,DESTINATION:JNB,,31.492683753860344,,,
DAY:4,MONTH:4,,16.588021126384223,,,
DAY:4,ORIGIN:DUB,,339.62698165927816,,,0.8267963895542909
DAY:4,DESTINATION:BRU,,679.2539633185563,,,
MONTH:4,ORIGIN:DUB,,339.62698165927816,,,
MONTH:4,DESTINATION:BRU,,679.2539633185563,,,
ORIGIN:DUB,DESTINATION:BRU,,679.2539633185563,,,
